Aggregate,ATAR
187.82,36.95
187.65,36.9
187.48,36.85
187.31,36.8
187.13,36.75
186.96,36.7
186.79,36.65
186.62,36.6
186.44,36.55
186.27,36.5
186.1,36.45
185.93,36.4
185.75,36.35
185.58,36.3
185.41,36.25
185.24,36.2
185.06,36.15
184.89,36.1
184.72,36.05
184.55,36.0
184.38,35.95
184.2,35.9
184.03,35.85
183.86,35.8
183.69,35.75
183.52,35.7
183.35,35.65
183.18,35.6
183.0,35.55
182.83,35.5
182.66,35.45
182.49,35.4
182.32,35.35
182.15,35.3
181.98,35.25
181.81,35.2
181.63,35.15
181.46,35.1
181.29,35.05
181.12,35.0
180.95,34.95
180.78,34.9
180.61,34.85
180.44,34.8
180.27,34.75
180.1,34.7
179.93,34.65
179.76,34.6
179.59,34.55
179.42,34.5
179.25,34.45
179.08,34.4
178.91,34.35
178.74,34.3
178.57,34.25
178.4,34.2
178.23,34.15
178.06,34.1
177.89,34.05
177.72,34.0
177.55,33.95
177.38,33.9
177.21,33.85
177.04,33.8
176.87,33.75
176.7,33.7
176.53,33.65
176.36,33.6
176.19,33.55
176.02,33.5
175.85,33.45
175.69,33.4
175.52,33.35
175.35,33.3
175.18,33.25
175.01,33.2
174.84,33.15
174.67,33.1
174.5,33.05
174.34,33.0
174.17,32.95
174.0,32.9
173.83,32.85
173.66,32.8
173.49,32.75
173.32,32.7
173.16,32.65
172.99,32.6
172.82,32.55
172.65,32.5
172.48,32.45
172.32,32.4
172.15,32.35
171.98,32.3
171.81,32.25
171.65,32.2
171.48,32.15
171.31,32.1
171.14,32.05
170.98,32.0
170.81,31.95
170.64,31.9
170.47,31.85
170.31,31.8
170.14,31.75
169.97,31.7
169.8,31.65
169.64,31.6
169.47,31.55
169.3,31.5
169.14,31.45
168.97,31.4
168.8,31.35
168.64,31.3
168.47,31.25
168.3,31.2
168.14,31.15
167.97,31.1
167.8,31.05
167.64,31.0
167.47,30.95
167.31,30.9
167.14,30.85
166.97,30.8
166.81,30.75
166.64,30.7
166.47,30.65
166.31,30.6
166.14,30.55
165.98,30.5
165.81,30.45
165.65,30.4
165.48,30.35
165.31,30.3
165.15,30.25
164.98,30.2
164.82,30.15
164.65,30.1
164.49,30.05
